"","department","sector1","sector2","apex"
"186","INDIRA GANDHI NAHAR BOARD","MAJOR AND MEDIUM IRRIGATION AND FLOOD CONTROL","","apex"
"187","ELECTION","","",""
"188","STATE REVENUE INTELLIGENCE","ECONOMIC SERVICES","",""
"189","BORDER SECURITY FORCE ACADEMY","","",""
"190","STATE FORENSIC SCIENCE LABORATORY","","",""
"191","POLICE HOUSING","","",""
"192","JODHPUR DEVELOPMENT AUTHORITY","URBAN DEVELOPMENT","",""
"193","RAJASTHAN URBAN INFRASTRUCTURE DEVELOPMENT PROJECT(RUIDP)","URBAN DEVELOPMENT","","apex"
"194","FAMILY WELFARE","FAMILY WELFARE","",""
"195","PLANNING (MANPOWER AND GAZETTEERS)","SECRETARIAT – GENERAL SERVICES","",""
"196","JAIPUR CITY TRANSPORT SERVICES LIMITED (JCTSL)","","","psu"
"197","EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"198","KHADI BOARD","","","apex"
"199","ENERGY","POWER","",""
"200","INTELLIGENCE TRAINING ACADEMY","","",""
"201","LAW","","",""
"202","JAIPUR METALS AND ELECTRICALS LIMITED","IRON AND STEEL INDUSTRIES","","psu"
"203","CORPORATE SOCIAL RESPONSIBILITY","","",""
"204","WAQF DEPARTMENT","SOCIAL SECURITY AND WELFARE","",""
"205","LIVELIHOOD PROJECTS & SELF HELP GROUPS","RURAL DEVELOPMENT","",""
"206","STATE MOTOR GARAGE","","",""
"207","RAJASTHAN MEDICAL SERVICES CORPORATION (RMSC)","MEDICAL AND PUBLIC HEALTH","","psu"
"208","CABINET SECRETARIAT","SECRETARIAT – GENERAL SERVICES","",""
"209","SANSKRIT EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"210","INDIRA GANDHI NAHAR PROJECT (IGNP)","MAJOR AND MEDIUM IRRIGATION AND FLOOD CONTROL","","apex"
"211","RAJASTHAN STATE WAREHOUSING CORPORATION","FOOD STORAGE AND WAREHOUSING","","psu"
"212","INDIRA GANDHI NAHAR DEPTT.","MAJOR AND MEDIUM IRRIGATION AND FLOOD CONTROL","","apex"
"213","STATE WATER RESOURCE PLANNING DEPTT. (SWRPD)","WATER SUPPLY AND SANITATION","",""
"214","WATER RESOURCES (IRRIAGATION)","MAJOR AND MEDIUM IRRIGATION AND FLOOD CONTROL","",""
"215","A.P.R.T.S.","","",""
"216","STATE INSURANCE AND PROVIDENT FUND","ECONOMIC SERVICES","",""
"217","RAJASTHAN STATE BEVERAGES CORPORATION","INDUSTRIES","","psu"
"218","ARCHAEOLOGY AND MUSEUMS","","",""
"219","SECURITY","","",""
"220","ELEMENTARY EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"221","RAJASTHAN RAJYA BUNKAR SAHKARI SANGH LIMITED","CO-OPERATION","","psu"
"222","RURAL NON FARM SECTOR DEV. AGENCY (RUDA)","RURAL DEVELOPMENT","","apex"
"223","RAJASTHAN STATE BUS TERMINAL DEVELOPMENT AUTHORITY","ROADS AND BRIDGES","","apex"
"224","RAJASTHAN FINANCIAL CORPORATION (RFC)","ECONOMIC SERVICES","","psu"
"225","RAJASTHAN STATE FOOD AND CIVIL SUPPLIES CORPORATION LIMITED","CIVIL SUPPLIES","","psu"
"226","LANGUAGE AND LIBRARY DEPARTMENT","","",""
"227","FOREST ECO-TOURISM","FORESTRY AND WILD LIFE","",""
"228","FOREST MEDICINAL PLANTS","FORESTRY AND WILD LIFE","",""
"229","CONSERVATOR OF FOREST OFFICE","FORESTRY AND WILD LIFE","",""
"230","FOREST I.T.","FORESTRY AND WILD LIFE","",""
"231","RAJASTHAN RIVER BASIN AND WATER RESOURCES PLANNING AUTHORITY","SOIL AND WATER CONSERVATION","","apex"
"232","PUBLIC SERVICES","SECRETARIAT – GENERAL SERVICES","","apex"
"233","HUMAN RESOURCE DEVELOPMENT","","",""
"234","GAS AUTHORITY","","",""
"235","STATE WOMEN COMMISSION","SOCIAL SECURITY AND WELFARE","",""
"236","MODERNIZATION & WELFARE","POLICE","",""
"237","FORENSIC SCIENCE LABORATORY","","",""
"238","RULES","","",""
"239","MINORITY COMMISSION","SOCIAL SECURITY AND WELFARE","","apex"
"240","RAVINDRA MANCH","","",""
"241","RAJASTHAN MADHYAMIK SHIKSHA PARISHAD","EDUCATION, SPORTS, ART AND CULTURE","",""
"242","PROGRAMME IMPLEMANTATION","SECRETARIAT – GENERAL SERVICES","",""
"243","RAJASTHAN STATE AGRICULTURE MARKETING BOARD","AGRICULTURAL FINANCE INSTITUTIONS","","apex"
"244","SCIENCE & TECHNOLOGY","SCIENCE, TECHNOLOGY AND ENVIRONMENT","",""
"245","STATE ELECTION COMMISSION","","",""
"246","SPINFED","","",""
"247","CENTRAL INDUSTRIAL SECURITY FORCE (CISF)","","",""
"248","RAJASTHAN ELECTRICITY REGULATORY COMMISSION","POWER","","apex"
"249","HINDUSTAN PETROLEUM CORPORATION LIMITED (HPCL)","INDUSTRIES","","psu"
"250","FOREST LABOUR & LAW","FORESTRY AND WILD LIFE","",""
"251","FOREST HEADQUARTER(HQ.)","FORESTRY AND WILD LIFE","",""
"252","FOREST DEPARTMENTAL OPERATION SCHEME","FORESTRY AND WILD LIFE","",""
"253","FOREST PRODUCTION","FORESTRY AND WILD LIFE","",""
"254","CENTRAL RESERVE POLICE FORCE (CRPF)","POLICE","",""
"255","ANTI HUMAN TRAFFICKING","","",""
"256","CRIME BRANCH","","",""
"257","JAIPUR METRO RAIL CORPORATION LIMITED (JMRCL)","","","psu"
"258","FOOD CORPORATION OF INDIA (FCI)","FOOD STORAGE AND WAREHOUSING","","psu"
"259","N.R.I.","","",""
"260","RAJASTHAN RENEWABLE ENERGY CORPORATION LIMITED (RRECL)","POWER","","psu"
"261","MICRO, SMALL AND MEDIUM ENTERPRISES DEPARTMENT (RSME)","VILLAGE AND SMALL INDUSTRIES","",""
"262","STATE ENTERPRISES","INDUSTRIES","",""
"263","RAJASTHAN STATE VIDHYUT PRASARAN NIGAM LTD.","POWER","","psu"
"264","RAJASTHAN POLICE TRAINING CENTRE (RPTC)","POLICE","",""
"265","FOREST PROJECTS","FORESTRY AND WILD LIFE","",""
"266","RAJASTHAN BIO DIVERSITY BOARD","SCIENCE, TECHNOLOGY AND ENVIRONMENT","","apex"
"267","FOREST PLAN","FORESTRY AND WILD LIFE","",""
"268","FOREST EMPLOYMENT GUARANTEE SCHEME (E.G.S.)","FORESTRY AND WILD LIFE","",""
"269","NATIONAL PARK MUKUNDARA","","",""
"270","MANIKYA LAL VERMA TRIBAL RESEARCH INSTITUTE","WELFARE OF SCHEDULED CASTES, SCHEDULED TRIBES AND OTHER BACKWARD CLASSES","",""
"271","RAJASTHAN FORESTRY AND BIO DIVERSITY PROJECT (RFBP)","FORESTRY AND WILD LIFE","",""
"272","LOKAYUKT","SECRETARIAT – GENERAL SERVICES","","apex"
"273","WEST ZONE CULTURE CENTER","EDUCATION, SPORTS, ART AND CULTURE","",""
"274","RAJASTHAN REVENUE TRAINING INSTITUTE (RRTI)","","","apex"
"275","MUNICIPAL CORPORATION JODHPUR SOUTH","URBAN DEVELOPMENT","",""
"276","DEPARTMENT OF DRINKING WATER AND SANITATION","WATER SUPPLY AND SANITATION","",""
"277","STATE INFORMATION COMMISSION","","","apex"
"278","ARID FOREST RESEARCH INSTITUTE","FORESTRY AND WILD LIFE","",""
"279","JODHPUR VIDHYUT VITRAN NIGAM LIMITED","POWER","","psu"
"280","RAJASTHAN SC/ST COMMISSION","WELFARE OF SCHEDULED CASTES, SCHEDULED TRIBES AND OTHER BACKWARD CLASSES","",""
"281","MUNICIPAL CORPORATION JAIPUR HERITAGE","URBAN DEVELOPMENT","",""
"282","DEPARTMENTAL OPERATION DIVISION (DOD)","","",""
"283","FOREST HARVESTING OPERATION","FORESTRY AND WILD LIFE","",""
"284","FOREST ESTABLISHMENT","FORESTRY AND WILD LIFE","",""
"285","NATIONAL CADET CORPS (NCC)","","",""
"286","RAJASTHAN STATE BUREAU OF INVESTIGATION","","",""
"287","RAJCOMP INFO SERVICES LIMITED","SCIENCE, TECHNOLOGY AND ENVIRONMENT","","psu"
"288","INDIRA GANDHI NATIONAL FOREST ACADEMY (IGNFA)","FORESTRY AND WILD LIFE","","apex"
"289","DEPARTMENT OF COMMERCE","ECONOMIC SERVICES","",""
"290","WAQF BOARD","SOCIAL SECURITY AND WELFARE","","apex"
"291","FLOOD PRONE RIVER PROJECT","SOIL AND WATER CONSERVATION","",""
"292","DISABILITIES","","",""
"293","OPERATION","","",""
"294","SWACHH BHARAT MISSION","","","apex"
"295","FOREST JDA","","",""
"296","RAJASTHAN STATE ROAD DEVELOPMENT AND CONSTRUCTION CORPORATION LIMITED","ROADS AND BRIDGES","","psu"
"297","FOREST RIVER VALLEY PROJECT","FORESTRY AND WILD LIFE","",""
"298","MUNICIPAL CORPORATION KOTA SOUTH","URBAN DEVELOPMENT","",""
"299","FOREST PROJECT FORMULATION & CORDINATION","FORESTRY AND WILD LIFE","",""
"300","CHIEF SECRETARY OFFICE","SECRETARIAT – GENERAL SERVICES","",""
"301","FOREST TIGER PROJECT","FORESTRY AND WILD LIFE","",""
"302","SANGEET NATAK ACADAMY","EDUCATION, SPORTS, ART AND CULTURE","",""
"303","PARLIAMENTARY AFFAIRS","SECRETARIAT – GENERAL SERVICES","","apex"
"304","POLICE TRAINING SCHOOL (PTS)","","",""
"305","HADI RANI BATTALION","","",""
"306","STATE HUJ COMMITTEE","","",""
"307","FOREST SILVICULTURE","FORESTRY AND WILD LIFE","",""
"308","RAJASTHAN STATE HUMAN RIGHT COMMISSION","","",""
"309","MUNICIPAL CORPORATION KOTA NORTH","URBAN DEVELOPMENT","",""
"310","JUSTICE","","",""
"311","MUNICIPAL CORPORATION JODHPUR NORTH","URBAN DEVELOPMENT","",""
"312","ORIENTAL RESEARCH","","",""
"313","MINISTRY OF WATER RESOURCES, RIVER DEVELOPMENT & GANGA REJUVENATION","MAJOR AND MEDIUM IRRIGATION AND FLOOD CONTROL","",""
"314","JAL JEEVAN MISSION","WATER SUPPLY AND SANITATION","","apex"
"315","BOARD OF SECONDARY EDUCATION","EDUCATION, SPORTS, ART AND CULTURE","",""
"316","WEAKER SECTIONS","","",""
"317","DISCOM","POWER","","psu"
"318","RAJASTHAN URJA VIKAS NIGAM LIMITED (RUVNL)","POWER","","psu"
"319","FOREST LAW","FORESTRY AND WILD LIFE","",""
"320","INFRASTRUCTURE","ROADS AND BRIDGES","",""
"321","RAJASTHAN SUBORDINATE AND MINISTERIAL SERVICES SELECTION BOARD","SECRETARIAT – GENERAL SERVICES","","apex"
"322","VIDHYUT NIGAM","","",""
"323","PEACE AND NON-VIOLENCE","","",""
"324","FOREST CONCURRENT EVALUATION","","",""
"325","S.T.S.","","",""
"326","CRIME","","",""
"327","FOREST ADMINISTRATION","FORESTRY AND WILD LIFE","",""
"328","RECRUITMENT AND PROMOTION BOARD","SECRETARIAT – GENERAL SERVICES","","apex"
"329","RAJASTHAN STATE SENIOR CITIZEN BOARD","","",""
"330","POLICY PLANNING CELL","","",""
"331","NON-TIMBER FOREST PRODUCTS (NTFP)","","",""
"332","RAJASTHAN FORESTRY AND BIO DIVERSITY DEVELOPMENT PROJECT","FORESTRY AND WILD LIFE","","apex"
"333","TILAM SANGH","","",""
"334","MINISTRY OF INFORMATION AND BROADCASTING","COMMUNICATIONS","","apex"
"335","STATE INNOVATION COUNCIL","SCIENCE, TECHNOLOGY AND ENVIRONMENT","",""
"336","FOOD SAFETY","","",""
"337","STATE DISASTER RESPONSE FORCE","RELIEF ON ACCOUNT OF NATURAL CALAMITIES","",""
"338","KANDLA PORT TRUST","","","psu"
"339","MINISTRY OF PERSONNEL","SECRETARIAT – GENERAL SERVICES","","apex"
"340","ASIAN DEVELOPMENT BANK","","",""
"341","WORLD BANK","","",""
"342","CORPORATE AFFAIRS","","",""
"343","ELECTION COMMISSION OF INDIA","","",""
"344","POWER FINANCE CORPORATION","POWER","","psu"
